protA	protB	interaction
Q13951	P69723	YES
Q01968	Q9Z270	NO
P55011	O95747	YES
Q8R4K2	Q6NT76	NO
O54992	P02340	YES
Q71LX4	O54967	NO
Q08509	P27361	YES
P46983	P42345	NO
P43250	P52205	YES
P01120	P04637	NO
Q9H2K2	P11274	YES
Q8IVP5	P19320	NO
O95402	P49848	YES
Q9BQF6	P38182	NO
Q9C5K8	Q9FIP9	YES
P38862	P45973	NO
Q12959	Q96KB5	YES
Q07820	O75771	NO
P40337	Q16665	YES
G5EG62	P04049	NO
Q7Z614	Q14242	YES
P02293	Q8N423	NO
Q06609	P51587	YES
P35609	P06239	NO
Q07812	O43521	YES
Q10666	O70552	NO
Q6IAW1	Q8IZQ1	YES
Q9UBX5	Q7Z5G4	NO
P84243	Q9VK33	YES
Q9I8D1	Q53GL7	NO
P29517	O04350	YES
P35400	Q02099	NO
P38991	Q17635	YES
P40337-2	Q94F62	NO
P36107	Q06346	YES
P31513	P10415	NO
P16104	Q86WJ1-1	YES
P12815	P61224	NO
Q3U182	Q7KZI7	YES
P19524	O43295	NO
Q9NY27	P60510	YES
Q940H6	P97287	NO
Q01105	P63000	YES
Q8C863	Q99PU7	NO
O00444	Q9HC77	YES
P06213	Q8CDM1	NO
Q08214	P38920	YES
Q9Y5V3	Q12959	NO
O60337	P41220-1	YES
Q811D0	P13760	NO
P0AFX4	P00579	YES
P00338-3	Q91YS4	NO
E9PH57	P42773	YES
Q96B67	P60709	NO
Q14203	Q9JK25	YES
P60510	P63000	NO
P28148	P46077	YES
Q96HR9	P29353-7	NO
P62331	Q86YS3	YES
F1NPG5	P43629	NO
Q9Y297	Q99952-1	YES
P49917	P19320	NO
Q01147	Q09472	YES
Q17635	Q06346	NO
Q13501	P11473	YES
Q96SD1	Q5JXB2	NO
P52757	P63000	YES
Q04477	O60716	NO
P52919	P34077	YES
P07949	P40460	NO
Q9UKU9	Q8N423	YES
Q12906	Q13190	NO
Q93009	P04637	YES
Q9XGU0	Q14517	NO
P49736	Q9Y294	YES
P32790	Q86YC2	NO
Q9BZG1	P35219	YES
Q9HCK8	Q14565	NO
P63010-2	P40692	YES
B7UMB6	P39940	NO
P51834	P35154	YES
Q04206	P07332	NO
Q5EBH1-1	Q61411	YES
Q9LMA8	P38398	NO
P40763	O60341-1	YES
O75603	P0ACF8	NO
Q8N5M1	P43360	YES
P53907	Q9WV48	NO
Q9NR28	P97287	YES
O43765	P38285	NO
P97318	Q03157	YES
P03496	Q8WXH0-1	NO
Q9HC29	Q96RT1-2	YES
Q13501	Q15788	NO
Q04206	P25963	YES
P51834	Q5EBH1-1	NO
P27348	Q14678-2	YES
P01112	P61964	NO
Q9QUM4	O88890	YES
P32829	P06239	NO
O14966	Q5S007	YES
P35222	Q9BXW4	NO
Q9UQB8-4	P60953-2	YES
O08560	Q9UQB8-4	NO
P46776	P19320	YES
P37542	P18824	NO
P9WJA9	P96218	YES
O75379	Q99497	NO
Q9GZV5	Q969T9	YES
P28482	P04591	NO
P48283	Q9Y6R1-1	YES
Q9S7M2	Q02629	NO
G3GTH2	Q9ULV1	YES
Q9FIP9	X5HMX4	NO
Q9DC40	Q9CQJ2	YES
Q9Z2R9	P68431	NO
P35609	P49458	YES
Q8WUM4	Q9NWZ3	NO
P70662	P61372	YES
Q15554	O81439	NO
O43889-2	Q9Y397	YES
Q94BT6	P15116	NO
P53853	Q07794	YES
P41912	P0A9A6	NO
Q8CGU4	Q8IZJ1	YES
Q9I9K6	Q7RQ71	NO
P05783	Q08379	YES
P27986	O88846	NO
Q9UJY4	P35219	YES
Q60857	Q8IDQ2	NO
Q99081-3	Q06455-4	YES
Q8R5F7-1	P19157	NO
O95477	P02647	YES
Q9D1P4	Q8IUQ4	NO
Q68FM7	Q8CJH3	YES
O15169	G0S5G3	NO
Q01405	Q60857	YES
O14641	G0SCM5	NO
P02647	Q96DZ9-2	YES
P78344-1	Q6UY14-3	NO
P17693	P26715	YES
P42771	Q14185	NO
P25367	P25491	YES
Q9UMX0	P86478	NO
P08709	P13726	YES
Q92993	O75771	NO
Q64151	Q9Z0G0	YES
Q01130	Q8IYX8-2	NO
P08670	P31749	YES
Q8N4S9	Q13617	NO
Q8IYM1	O43236	YES
P18754	P18031	NO
P58753	Q6SZW1	YES
Q14676	O95786-1	NO
O43639	P05141	YES
Q8WXI2	P28867	NO
P24339	P87169	YES
P04150	P26358	NO
Q05397	Q62219	YES
Q9HAT8	O88448	NO
Q9H4M9	Q8N3F8	YES
Q91X05	P48510	NO
P87074	Q02099	YES
Q62108	Q3MUI1	NO
Q13616	P05919	YES
Q5U8X5	P32598	NO
P10275	Q14790	YES
Q9EPB4	P12931	NO
P18433	P00523	YES
Q14145	P51687	NO
P58400-1	Q99K10-1	YES
O60583	Q60598	NO
Q12906	Q05127	YES
Q9QZ88	Q63155	NO
Q13190	P61764	YES
O15266	Q10567	NO
P24386	Q92696	YES
P23352	P48168	NO
O95166	P46934	YES
P19320	Q9H190	NO
P08191	P30130	YES
Q9Y6I3	P30408	NO
P02538	Q08379	YES
Q9LS09	Q06682	NO
P0C6I6	Q9BX59	YES
Q9FIP9	P04637-1	NO
Q94F62	P21184	YES
Q9GT24	Q8IZQ1	NO
Q0VDD7	P61764	YES
F1NPG5	P05480	NO
Q07879	P38862	YES
Q14155	Q12849	NO
O95931	Q99496	YES
Q8N726	Q71DI3	NO
P33568	O88350	YES
P19320	O35324	NO
P35561	B2RYN6	YES
O14757	P10238	NO
Q14155	O60880-1	YES
Q8N423	Q60793	NO
O75771	Q8IYX8-2	YES
P62331	G5E962	NO
Q92993	Q01130	YES
Q9JIY5	Q9UBS4	NO
P20339	Q9UKG1	YES
Q86VS8	Q8IWU4	NO
P62340	P52655	YES
Q96BA8	P21757	NO
P51809	O15400	YES
Q8BHK6	P09661	NO
Q9UQB8-4	P50552	YES
Q04205	P51608	NO
Q13291	O60880-1	YES
P51587	P13134	NO
P0A6A8	P0A8Z3	YES
P16333	P70371	NO
O76015	P35908	YES
Q7Z7L7	Q9SPL2	NO
P40337	Q13617	YES
P27986	Q9UJ70-2	NO
P27482	Q9HD67	YES
P03586	P32841	NO
Q04477	P43618	YES
P13423	P07510-2	NO
Q8WXH5	P62993	YES
O14936	P23647	NO
Q6VAB6-1	P29678	YES
P18139	P35609	NO
P00533	P14174	YES
Q99816	Q9UJX2	NO
Q13586	Q96D31	YES
O43236	P31749	NO
Q6XVX6	Q6XVW5	YES
Q14974	Q9M7X9	NO
Q9Y653	P08121	YES
F1M4A4	P26447	NO
P62993	O60636	YES
P55087	Q80VJ8	NO
P63244	P35609	YES
P46937	P38632	NO
Q60676	Q9D1P4	YES
F4I0K2	Q5JVL4	NO
O43236-6	Q8IUQ4	YES
P16104	P13747	NO
P36406	P02538	YES
G5EG51	Q40687	NO
P00520-4	Q8IZP0-4	YES
P35222	P9WGY9	NO
O35987	P46462	YES
P9WMQ5	Q62190	NO
Q9BRP8	P61326	YES
P04637	P9WGI1	NO
P51023	P40417	YES
Q9Y2U5	P04637	NO
O43889-2	Q8N6F1-2	YES
Q00944	P09874	NO
P52294	P31345	YES
Q7MRZ3	O43765	NO
O57468	Q8QGV3	YES
P62993	Q9UKT9	NO
P98161-3	Q13563-1	YES
P28799	Q8N5M1	NO
Q9H2K2	Q92698	YES
Q99M51	P40458	NO
P62805	P35609	YES
Q47506	Q6UX46	NO
O55207-3	Q9WVJ4	YES
P47811	P19334	NO
O96011	P40855	YES
Q6PFX7	P63165	NO
O15105	O00308	YES
O75381	Q01844	NO
O04197	Q8W4J8	YES
O48726	Q63ZW7-3	NO
Q8N0W4	Q63373	YES
Q9SII8	O35240	NO
O94534	Q9URY2	YES
O75771	P03165	NO
Q99728	P38398	YES
Q9R1A8	Q9BUH6-1	NO
Q61644	P19332-5	YES
Q03385	Q00987	NO
P36108	P52917	YES
Q9HAW4	Q63187	NO
P06241	O60880-1	YES
P62870	Q9UM11	NO
Q9Y6N9-1	Q9HBB8	YES
O00444	Q84L32	NO
Q9UH99	P52292	YES
Q6SZW1	P39940	NO
Q9BVG8	O75771	YES
P15976	Q08919	NO
O60220	O75886	YES
P04197	P04601	NO
P06753	P0C1Z6	YES
Q8IY57-1	P46014	NO
Q8C863	Q86VP1-2	YES
P67828	P13747	NO
Q99PU7	P38398	YES
P02786	P07560	NO
P48598	Q9VMA3	YES
P19320	P53897	NO
Q99759	Q9BSQ5-1	YES
Q02817	Q9P0K1-3	NO
P28799	Q8N6T3-3	YES
Q9Y5S9-1	P61326	NO
O95376	P68036	YES
P35226	P56546	NO
D3YUJ3	Q04735	YES
P04197	P32780	NO
Q5XIQ4	O81775	YES
P19838-1	Q03137	NO
P39014	P52286	YES
P0ABZ1	Q62925	NO
P62805	Q9VK33	YES
Q13049	P41002	NO
Q9M246	Q9FIP9	YES
Q9BZG1	P63010-2	NO
Q00987	P04637	YES
P08487	O14745	NO
Q9UHB7	Q03111	YES
P19320	P15206	NO
P41250	Q9CZD3	YES
P40344	Q9BSI4	NO
Q9UHD2	Q96CV9	YES
P38182	Q96AP0	NO
P16104	Q6P4T3	YES
Q9UKV8	P21912	NO
P04197	A1Z9E2	YES
Q46897	Q83YM6	NO
P04601	P27824	YES
O70468	Q96P20	NO
Q7Z5K2	Q8N3U4	YES
Q92834	Q9WUA5	NO
O14727	P55211	YES
P50749	O35464-1	NO
P20073	O75340	YES
O00505	Q15154	NO
Q9GZQ8	Q9UPU7	YES
P53894	Q8CFI2	NO
O48963	P48348	YES
Q13118	Q91349	NO
P38116	Q3E784	YES
Q9JIY2	Q15323	NO
O00899	P34144	YES
Q06697	P74746	NO
P32354	P06700	YES
Q96ST3	K9ZTJ6	NO
P62837	Q96CA5-1	YES
Q9UKM9	Q03164	NO
P55884	P19320	YES
P51668	Q7KZI7	NO
Q9LVM5	O22476	YES
Q9UHD9	P13747	NO
Q06187	P50222	YES
P60953-2	P37107	NO
Q12033	P33400	YES
O60762	P38182	NO
O27564-2	O27564-1	YES
O95999	P0AFZ5	NO
Q9VFS8	Q9V637	YES
Q5S007	P09382	NO
O60333-3	P78352	YES
P62799	O08992	NO
P38212	P39940	YES
P38886	O06873	NO
P46937	P97764	YES
P40763	Q04636	NO
P03132	P53999	YES
P32447	Q9WU78	NO
P18084	F8VQB6	YES
P47822	Q99758	NO
Q6P1J9	Q5JR59-3	YES
P03052	O75164	NO
P10276	Q91XC0	YES
P46116	Q9Y4B6-3	NO
G3CKA6	Q93KQ6	YES
P18031	P36888	NO
P18031	P63166	YES
Q16576	Q5T2D3	NO
A0A1U8CGG0	P78423	YES
Q5SRE5	Q00534	NO
P42771	Q00534	YES
Q96PU5-5	O60885	NO
P43254	Q9SPL2	YES
P19320	P42773	NO
Q15369	Q7Z7L7	YES
Q8TAI7	Q79PF4	NO
P53112	P35056	YES
P42345	Q79PF6	NO
C0H3R4	P37871	YES
P63279	P62331	NO
Q9JIY2	Q60598	YES
P34077	Q8N423	NO
Q80TS3	Q8BLU0	YES
Q15561	Q9Z1W9	NO
Q9FLB1	Q9CAJ0	YES
P21912	Q9NPI6	NO
P25445	P63165	YES
Q8PND9	P19554	NO
O43150	P19174	YES
Q5SW45	P10276	NO
Q8NBW4-1	Q7L523	YES
Q60974	Q3UK10	NO
Q96PM5	Q9UQM7	YES
Q6AWX6	Q8N8S7	NO
O94742	Q08231	YES
A8K0Z3	P39968	NO
P62993	Q8NFH8-2	YES
Q9ULK5	P0AEZ3	NO
P35222	P10275	YES
Q9UHD9	Q9YAF1	NO
Q5W0Q7	P55854	YES
Q6DFL3	Q9BRK4	NO
Q9UH99	P53618	YES
Q8AXF4	O75344	NO
P17325	P49185	YES
P09493-10	P02454	NO
P02489	P07315	YES
O43765	Q08649	NO
P89903	Q9NRW3	YES
O75084	Q9BUF5	NO
Q13148	Q99700	YES
P08069	Q8IEW2	NO
Q13415	P62803	YES
P01903	Q8WVM8	NO
Q99558	O14920	YES
Q13009	Q12050	NO
P32598	P38232	YES
O14936	P15873	NO
Q9UH99	Q14974	YES
Q8WTS6	P05067-4	NO
Q9H9L4	P61964	YES
P49768	Q9WVH4	NO
P70280	Q96NW4	YES
A0A0F6B941	Q8VDU0	NO
P97879	P35400	YES
Q14653	O04719-1	NO
P40014	Q04477	YES
Q8WTS6	Q07817	NO
Q96SD1	Q13426	YES
P16333	Q15831	NO
P29590	Q13526	YES
Q29960	Q8WUM4	NO
Q9UNA4	P0CG48	YES
P45481	P32242	NO
Q9UDY2-3	Q14847	YES
P61081	Q8IWE4	NO
P06783	P11972	YES
Q09066	O43707-1	NO
P28482	Q15256	YES
O75197	Q03761	NO
Q8N1K5	P29350	YES
Q06609	Q7Z614	NO
P04591	P43629	YES
Q07666	P38398	NO
Q13137	Q99732	YES
Q00944	Q9NWT6	NO
Q42453	Q0WP44	YES
Q00959	P33568	NO
Q01405	Q9NR31	YES
Q9GZM8	P19174	NO
O35718	P28776	YES
P19320	O43847	NO
Q86V97	Q9GZQ8	YES
P61313	P04637	NO
Q9XIC7	Q8LPB4	YES
O82481	Q9UHD2	NO
Q96IZ0	Q9D5L7	YES
P19332-5	P52917	NO
P18824	Q961D9	YES
P97260	P35831	NO
Q12050	P15873	YES
Q9UJ14	Q14185	NO
Q13009	O14936	YES
O13016	P12003-2	NO
Q61006	Q18PE0	YES
Q8BGW0-1	O81775	NO
P35609	P26842	YES
Q6ZVD8	P23526	NO
Q5FBB7	Q53HL2	YES
P29590-1	Q9H444	NO
P67809	O95613	YES
P69723	Q00772	NO
P40014	P43618	YES
Q14449	Q7SDP4	NO
P63009	Q60838	YES
P61160	Q14457	NO
P09632	P41778	YES
Q9Y4X5	Q8BUV3	NO
P9WKW7	P9WGY5	YES
Q9GZQ8	Q9WV86	NO
P39940	P43602	YES
P87108	P33332	NO
Q6SZW1	Q99836	YES
P93002	Q9Y376	NO
P18031	P10686	YES
P30203	Q39024	NO
Q9NRG1	P00492	YES
Q9UBL3-3	P42574	NO
Q83YM6	Q93ZM9	YES
O96017	Q15836	NO
Q8WVF5	Q5JVL4	YES
P22314	P06974	NO
O48726	Q9SII8	YES
Q9NY61	O15400	NO
Q63ZW7-3	O35240	YES
P27986	Q9XGM3	NO
Q5JVL4	Q15654	YES
Q8BH60	B2RUJ5	NO
Q9NQG6	O00429	YES
Q9UER7-1	P68619	NO
Q15208	Q9H8S9	YES
P61077-1	P0DMV8	NO
P97465	P00520	YES
Q96EP0	P24928	NO
P60010	P11710	YES
Q9Z0R4	Q16531	NO
O14796	Q9UN19	YES
Q24564	O70293-1	NO
O26057	O25828	YES
O43521	Q13158	NO
B2CML4	Q77YG0	YES
Q92600	P69786	NO
P09603	P03228	YES
Q9H9Q4-1	Q99961-1	NO
Q9BV40	O43752	YES
Q9NQS7	Q9H4A3	NO
P27986	Q6PFX7	YES
P62827	Q9H2K2	NO
O88846	P63165	YES
Q13526	Q13426	NO
Q23973	P52304	YES
P04551	P08069	NO
O55042	P00519-2	YES
